symbol,headline
FIN_ICICIBANK,Analysts upgrade rating
FIN_ICICIBANK,ICICI expands credit card portfolio
FIN_ICICIBANK,Minor technical outage reported
FIN_ICICIBANK,Foreign investor interest rises
FIN_ICICIBANK,Net profit increases sharply
FIN_ICICIBANK,Bank strengthens compliance procedures
FIN_ICICIBANK,ICICI maintains strong liquidity

IT_INFY,Infosys signs major digital transformation deal
IT_INFY,Company sees rising global tech demand
IT_INFY,Infosys faces attrition challenges
IT_INFY,Analysts lower EPS forecasts
IT_INFY,Company expands AI-led services
IT_INFY,Infosys improves automation offerings
IT_INFY,Client spending slows temporarily
IT_INFY,Infosys wins strategic European deal
IT_INFY,Market remains cautious due to global slowdown
IT_INFY,Infosys increases hiring in India

FMCG_ITC,ITC reports strong FMCG revenue
FMCG_ITC,Cigarette segment shows stable demand
FMCG_ITC,Hotel business sees recovery
FMCG_ITC,ITC expands paperboards division
FMCG_ITC,Analysts maintain positive outlook
FMCG_ITC,Input cost inflation persists
FMCG_ITC,Company boosts agri-business
FMCG_ITC,ITC launches sustainability initiatives
FMCG_ITC,Exports improve slightly
FMCG_ITC,Analysts warn of competition in FMCG

FIN_KOTAKBANK,Kotak Bank reports stable Q2 earnings
FIN_KOTAKBANK,Bank improves digital loan approvals
FIN_KOTAKBANK,Analysts cut target on slowing growth
FIN_KOTAKBANK,Kotak expands corporate banking
FIN_KOTAKBANK,NPAs rise marginally
FIN_KOTAKBANK,Kotak sees strong deposit growth
FIN_KOTAKBANK,Bank announces branch expansion
FIN_KOTAKBANK,Competition pressures margins
FIN_KOTAKBANK,Kotak enhances compliance systems
FIN_KOTAKBANK,Outlook remains stable

CONST_LT,Larsen & Toubro wins major construction order
CONST_LT,Infra project delays affect progress
CONST_LT,L&T expands international operations
CONST_LT,Analysts bullish on order pipeline
CONST_LT,Company reports steady execution
CONST_LT,Input cost pressures remain
CONST_LT,L&T strengthens engineering division
CONST_LT,Government capex push benefits company
CONST_LT,L&T improves cash flow
CONST_LT,Minor delay in metro project

AUTO_M_M,M&M reports strong SUV sales
AUTO_M_M,Company expands EV portfolio
AUTO_M_M,Semiconductor shortages impact production
AUTO_M_M,Analysts maintain buy rating
AUTO_M_M,M&M launches new electric tractor
AUTO_M_M,Export demand weakens temporarily
AUTO_M_M,Company reduces waiting period for models
AUTO_M_M,Production cost pressures remain
AUTO_M_M,M&M improves supply chain management
AUTO_M_M,New product pipeline looks strong

AUTO_MARUTI,Maruti reports strong domestic sales
AUTO_MARUTI,Company launches new hatchback
AUTO_MARUTI,Production issues persist due to shortages
AUTO_MARUTI,Analysts expect stable growth
AUTO_MARUTI,New plant expansion underway
AUTO_MARUTI,Maruti strengthens export strategy
AUTO_MARUTI,Input cost pressures remain
AUTO_MARUTI,Demand slows in rural markets
AUTO_MARUTI,Maruti improves safety ratings
AUTO_MARUTI,Company increases production capacity

PWR_NTPC,NTPC reports strong power generation
PWR_NTPC,Company expands renewable energy capacity
PWR_NTPC,Coal supply challenges persist
PWR_NTPC,Analysts maintain neutral outlook
PWR_NTPC,New plant commissioning delayed
PWR_NTPC,NTPC signs green energy partnership
PWR_NTPC,Company boosts hydropower investments
PWR_NTPC,Minor operational disruptions reported
PWR_NTPC,NTPC improves carbon emission metrics
PWR_NTPC,Power demand expected to rise

OILGAS_ONGC,ONGC reports steady crude oil output
OILGAS_ONGC,Global oil price volatility impacts earnings
OILGAS_ONGC,ONGC expands offshore drilling
OILGAS_ONGC,Analysts turn positive on exploration prospects
OILGAS_ONGC,Company faces increased operational costs
OILGAS_ONGC,ONGC signs strategic international deal
OILGAS_ONGC,Production dips slightly in some fields
OILGAS_ONGC,Outlook remains stable
OILGAS_ONGC,ONGC increases investment in R&D
OILGAS_ONGC,Market uncertain due to global tensions

PWR_POWERGRID,PowerGrid reports strong transmission growth
PWR_POWERGRID,Company expands national grid network
PWR_POWERGRID,Analysts maintain positive view
PWR_POWERGRID,Minor delay in grid expansion project
PWR_POWERGRID,PowerGrid launches advanced monitoring system
PWR_POWERGRID,Company improves financial position
PWR_POWERGRID,Transmission load increases nationwide
PWR_POWERGRID,PowerGrid faces regulatory challenges
PWR_POWERGRID,Exports of technology solutions rise
PWR_POWERGRID,Outlook remains robust

OILGAS_RELIANCE,Reliance posts strong energy earnings
OILGAS_RELIANCE,Reliance increases investment in new energy
OILGAS_RELIANCE,Petchem margin pressures persist
OILGAS_RELIANCE,RIL expands retail footprint
OILGAS_RELIANCE,Analysts raise target price
OILGAS_RELIANCE,Refinery shutdown impacts output
OILGAS_RELIANCE,Reliance invests in AI capabilities
OILGAS_RELIANCE,Market uncertainties hit oil prices
OILGAS_RELIANCE,Retail business sees strong growth
OILGAS_RELIANCE,Overall sentiment remains positive

FIN_SBIN,SBI reports high credit growth
FIN_SBIN,NPAs remain under check
FIN_SBIN,Analysts turn bullish on SBI
FIN_SBIN,SBI launches new digital services
FIN_SBIN,Branch expansion increases costs
FIN_SBIN,SBI improves risk management
FIN_SBIN,Government capital infusion boosts outlook
FIN_SBIN,Minor decline in treasury income
FIN_SBIN,SBI enhances customer services
FIN_SBIN,Outlook remains positive

HLTH_SUNPHARMA,Sun Pharma reports strong US sales
HLTH_SUNPHARMA,Company launches new specialty drugs
HLTH_SUNPHARMA,Sun Pharma faces FDA observations
HLTH_SUNPHARMA,Analysts maintain buy rating
HLTH_SUNPHARMA,Domestic market shows stable demand
HLTH_SUNPHARMA,Sun Pharma boosts R&D spending
HLTH_SUNPHARMA,Operational delays hit export shipments
HLTH_SUNPHARMA,Company strengthens supply chain
HLTH_SUNPHARMA,Analysts expect margin expansion
HLTH_SUNPHARMA,Production improves sequentially

IT_TCS,TCS wins multi-billion dollar contract
IT_TCS,Company reports steady earnings
IT_TCS,TCS expands into new AI verticals
IT_TCS,Employee attrition moderates
IT_TCS,Analysts maintain positive rating
IT_TCS,TCS faces currency fluctuation impact
IT_TCS,Global client budgets remain cautious
IT_TCS,Company adds major European clients
IT_TCS,TCS enhances cybersecurity offerings
IT_TCS,Outlook confident for next year

AUTO_TATAMOTORS,Tata Motors posts strong EV sales
AUTO_TATAMOTORS,Commercial vehicle demand increases
AUTO_TATAMOTORS,Semiconductor issues persist
AUTO_TATAMOTORS,Tata launches new SUV model
AUTO_TATAMOTORS,Analysts upgrade price target
AUTO_TATAMOTORS,Input costs remain elevated
AUTO_TATAMOTORS,Tata Motors expands charging network
AUTO_TATAMOTORS,Exports show stable growth
AUTO_TATAMOTORS,Company delays some production lines
AUTO_TATAMOTORS,Future outlook remains strong

METAL_TATASTEEL,Tata Steel reports improved margins
METAL_TATASTEEL,Company expands European operations
METAL_TATASTEEL,Raw material cost volatility persists
METAL_TATASTEEL,Tata Steel ramps up production
METAL_TATASTEEL,Analysts maintain hold rating
METAL_TATASTEEL,Company announces decarbonization plan
_METAL_TATASTEEL,Export orders increase
METAL_TATASTEEL,Market concerns arise over global demand
METAL_TATASTEEL,Operational efficiencies improve
METAL_TATASTEEL,Steel prices remain volatile

IT_TECHM,Tech Mahindra wins new IT contracts
IT_TECHM,Company sees stable demand
IT_TECHM,Global slowdown concerns emerge
IT_TECHM,Analysts expect margin recovery
IT_TECHM,TechM expands AI partnerships
IT_TECHM,Employee attrition impacts delivery
IT_TECHM,Company adds new enterprise clients
IT_TECHM,TechM restructures some businesses
IT_TECHM,Outlook cautiously optimistic
IT_TECHM,Digital revenue increases

CONST_ULTRACEMCO,UltraTech Cement reports strong volume growth
CONST_ULTRACEMCO,Input cost inflation affects margins
CONST_ULTRACEMCO,Company expands manufacturing plants
CONST_ULTRACEMCO,Analysts maintain positive view
CONST_ULTRACEMCO,Infra demand boosts sales
CONST_ULTRACEMCO,Company faces minor regulatory fines
CONST_ULTRACEMCO,UltraTech increases capacity utilization
CONST_ULTRACEMCO,Logistics issues cause delays
CONST_ULTRACEMCO,Analysts expect stable pricing
CONST_ULTRACEMCO,Future outlook remains strong

IT_WIPRO,Wipro wins cloud transformation deal
IT_WIPRO,Company sees moderate revenue growth
IT_WIPRO,Wipro announces organizational restructuring
IT_WIPRO,Analysts maintain neutral stance
IT_WIPRO,Client spending slows in some markets
IT_WIPRO,Wipro boosts AI investments
IT_WIPRO,Company faces margin pressure
IT_WIPRO,Attrition moderates slightly
IT_WIPRO,Wipro expands automation suite
IT_WIPRO,Overall outlook stable
